Objectid,Year,Metro,Cbsa,Employment,Labor_Force,Unemployment,Unemployment_Rate,Source
115,2002,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2738540,2893326,154786,0.053497601,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
116,2002,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2659009,2776239,117230,0.042226192,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
117,2003,Atlanta,"Atlanta-Sandy Springs-Marietta, GA",2349687,2478696,129009,0.052047125,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
118,2003,Bay Area,Bay Area,3320250,3562493,242243,0.067998169,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
119,2003,Chicago,"Chicago-Joliet-Naperville, IL-IN-WI MSA Area",4345404,4662417,317013,0.067993275,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
120,2003,Dallas,"Dallas-Fort Worth-Arlington, TX",2756473,2952640,196167,0.066437832,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
121,2003,Houston,"Houston-Sugar Land-Baytown, TX",2363839,2535223,171384,0.067601154,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
122,2003,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",2430304,2541678,111374,0.043819083,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
123,2003,New York,"New York-Northern New Jersey-Long Island, NY-NJ-PA",8742527,9350265,607738,0.064996874,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
124,2003,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2719720,2877200,157480,0.054733769,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
125,2003,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2681979,2796796,114817,0.041053048,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
126,2004,Atlanta,"Atlanta-Sandy Springs-Marietta, GA",2380609,2508824,128215,0.051105618,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
127,2004,Bay Area,Bay Area,3311337,3510750,199413,0.056800684,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
128,2004,Chicago,"Chicago-Joliet-Naperville, IL-IN-WI MSA Area",4388408,4681997,293589,0.062705935,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
129,2004,Dallas,"Dallas-Fort Worth-Arlington, TX",2806190,2979706,173516,0.058232591,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
130,2004,Houston,"Houston-Sugar Land-Baytown, TX",2396196,2554745,158549,0.062060597,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
131,2004,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",2493264,2588050,94786,0.036624486,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
132,2004,New York,"New York-Northern New Jersey-Long Island, NY-NJ-PA",8878253,9409067,530814,0.056415158,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
133,2004,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2742514,2889579,147065,0.050894957,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
134,2004,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2727503,2841068,113565,0.039972644,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
135,2005,Atlanta,"Atlanta-Sandy Springs-Marietta, GA",2442874,2591227,148353,0.057252028,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
136,2005,Bay Area,Bay Area,3324569,3496054,171485,0.049051016,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
137,2005,Chicago,"Chicago-Joliet-Naperville, IL-IN-WI MSA Area",4420571,4698655,278084,0.059183745,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
138,2005,Dallas,"Dallas-Fort Worth-Arlington, TX",2877278,3037696,160418,0.052809103,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
